,param_clf__selected_model,params,mean_fit_time,std_fit_time,mean_test_ba,std_test_ba,rank_test_ba,mean_test_ap,std_test_ap,rank_test_ap,mean_test_ra,std_test_ra,rank_test_ra,mean_test_F1,std_test_F1,rank_test_F1
53,"('brf', {'criterion': 'entropy', 'max_depth': 45, 'max_features': 'auto', 'min_samples_leaf': 10, 'min_samples_split': 3, 'n_estimators': 155})","{'clf__selected_model': ('brf', {'criterion': 'entropy', 'max_depth': 45, 'max_features': 'auto', 'min_samples_leaf': 10, 'min_samples_split': 3, 'n_estimators': 155})}",2.301848538716634,0.10088004049178041,0.5358806466653413,0.004809863571725878,1,0.6023603688444168,0.005124162565341751,28,0.5486784510847654,0.006435003198131302,25,0.5788310050384672,0.006049824166718885,42
12,"('brf', {'criterion': 'entropy', 'max_depth': 1, 'max_features': 'log2', 'min_samples_leaf': 10, 'min_samples_split': 3, 'n_estimators': 200})","{'clf__selected_model': ('brf', {'criterion': 'entropy', 'max_depth': 1, 'max_features': 'log2', 'min_samples_leaf': 10, 'min_samples_split': 3, 'n_estimators': 200})}",3.581364313761393,0.8094254484821836,0.53545516403049,0.00858766724863289,2,0.6033200133812983,0.0073371872664991745,21,0.5483925917606345,0.009635797505050179,26,0.5863236363051424,0.010742918321057124,38
23,"('brf', {'criterion': 'gini', 'max_depth': 45, 'max_features': 'log2', 'min_samples_leaf': 10, 'min_samples_split': 5, 'n_estimators': 200})","{'clf__selected_model': ('brf', {'criterion': 'gini', 'max_depth': 45, 'max_features': 'log2', 'min_samples_leaf': 10, 'min_samples_split': 5, 'n_estimators': 200})}",4.498845847447713,0.66374509236365,0.5354438077809915,0.005484685958340563,3,0.6027504810649876,0.005482511188939263,25,0.5491566504055287,0.006677739384148381,23,0.58009955215095,0.005425172647994276,41
33,"('brf', {'criterion': 'entropy', 'max_depth': 1, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 4, 'n_estimators': 200})","{'clf__selected_model': ('brf', {'criterion': 'entropy', 'max_depth': 1, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 4, 'n_estimators': 200})}",2.952796745300293,0.6135726271620652,0.5354322403287776,0.008275863395804032,4,0.6038029521815396,0.00712485402619571,18,0.5481987572944038,0.009298831063172674,29,0.5852865163601264,0.011470683693205959,39
59,"('brf', {'criterion': 'gini', 'max_depth': 1, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'min_samples_split': 6, 'n_estimators': 110})","{'clf__selected_model': ('brf', {'criterion': 'gini', 'max_depth': 1, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'min_samples_split': 6, 'n_estimators': 110})}",1.080742390950521,0.03126407119266916,0.5349498812390603,0.00774425685393694,5,0.603739850259584,0.007611855279957587,19,0.548351424446858,0.009469265727147517,28,0.5874326534691563,0.013891750817683044,37
32,"('brf', {'criterion': 'entropy', 'max_depth': 45, 'max_features': 'auto', 'min_samples_leaf': 10, 'min_samples_split': 2, 'n_estimators': 200})","{'clf__selected_model': ('brf', {'criterion': 'entropy', 'max_depth': 45, 'max_features': 'auto', 'min_samples_leaf': 10, 'min_samples_split': 2, 'n_estimators': 200})}",4.867742617925008,0.45659124788774863,0.5349248699114688,0.005152713124769944,6,0.6031835881812478,0.005791921256668465,23,0.5488225236083151,0.006379505288973125,24,0.5782233367471868,0.006206827660522273,43
5,"('brf', {'criterion': 'gini', 'max_depth': 1, 'max_features': 'auto', 'min_samples_leaf': 10, 'min_samples_split': 3, 'n_estimators': 155})","{'clf__selected_model': ('brf', {'criterion': 'gini', 'max_depth': 1, 'max_features': 'auto', 'min_samples_leaf': 10, 'min_samples_split': 3, 'n_estimators': 155})}",1.609583075841268,0.03778542237181545,0.5348713934301974,0.007945499578849347,7,0.6031315724827423,0.008368093757790277,24,0.5481538837225399,0.00974520871552384,30,0.5814467012727723,0.011088627499687548,40
6,"('bbc', {'base_estimator': HistGradientBoostingClassifier(), 'max_features': 1.0, 'max_samples': 0.5, 'n_estimators': 100})","{'clf__selected_model': ('bbc', {'base_estimator': HistGradientBoostingClassifier(), 'max_features': 1.0, 'max_samples': 0.5, 'n_estimators': 100})}",73.96093899408976,3.723762087400048,0.5345945433223194,0.005415125888192219,8,0.5990672329200646,0.006784760162177592,34,0.5450438799000333,0.006940928114449145,36,0.5940574610923957,0.005219166517156496,36
11,"('brf', {'criterion': 'entropy', 'max_depth': 23, 'max_features': 'auto', 'min_samples_leaf': 10, 'min_samples_split': 9, 'n_estimators': 200})","{'clf__selected_model': ('brf', {'criterion': 'entropy', 'max_depth': 23, 'max_features': 'auto', 'min_samples_leaf': 10, 'min_samples_split': 9, 'n_estimators': 200})}",5.428715244928996,0.9426636551000181,0.534284411093677,0.0056464068603200935,9,0.6025058567596814,0.005749254336869116,27,0.5483885648347255,0.006594478082656853,27,0.5781191746719087,0.006603469801108036,44
46,"('brf', {'criterion': 'entropy', 'max_depth': 23, 'max_features': 'auto', 'min_samples_leaf': 10, 'min_samples_split': 5, 'n_estimators': 65})","{'clf__selected_model': ('brf', {'criterion': 'entropy', 'max_depth': 23, 'max_features': 'auto', 'min_samples_leaf': 10, 'min_samples_split': 5, 'n_estimators': 65})}",0.9475200970967611,0.08307019735859193,0.5339081467555835,0.005038532561106885,10,0.601803772127173,0.005279403857036396,29,0.5479010447281354,0.006201428864014454,33,0.5780089605402825,0.007476051765447774,45
1,"('rbc', {'algorithm': 'SAMME.R', 'learning_rate': 0.1, 'n_estimators': 10})","{'clf__selected_model': ('rbc', {'algorithm': 'SAMME.R', 'learning_rate': 0.1, 'n_estimators': 10})}",0.1695940653483073,0.009765872423455363,0.5319678298186391,0.007264097696425698,11,0.5950436341781135,0.005560218624967298,38,0.5423579282147946,0.008425354416214847,37,0.570020062209577,0.025512288650968447,47
7,"('brf', {'criterion': 'entropy', 'max_depth': 23, 'max_features': 'auto', 'min_samples_leaf': 5, 'min_samples_split': 5, 'n_estimators': 110})","{'clf__selected_model': ('brf', {'criterion': 'entropy', 'max_depth': 23, 'max_features': 'auto', 'min_samples_leaf': 5, 'min_samples_split': 5, 'n_estimators': 110})}",1.7728846232096354,0.03148242418924144,0.5310223598860685,0.004372242940948051,12,0.5962857446873284,0.005299388126588403,37,0.5408598393409659,0.006381763342711134,38,0.5696958947480509,0.004998674330112752,48
28,"('brf', {'criterion': 'entropy', 'max_depth': 45, 'max_features': 'log2', 'min_samples_leaf': 3, 'min_samples_split': 2, 'n_estimators': 200})","{'clf__selected_model': ('brf', {'criterion': 'entropy', 'max_depth': 45, 'max_features': 'log2', 'min_samples_leaf': 3, 'min_samples_split': 2, 'n_estimators': 200})}",5.6956089496612545,1.0532792489536318,0.5288175559337162,0.0058448972729175,13,0.5925013585677167,0.004801377039550093,43,0.5363346612077461,0.006200430589479116,43,0.5639917143237501,0.0040426092985185675,53
48,"('brf', {'criterion': 'gini', 'max_depth': 23, 'max_features': 'auto', 'min_samples_leaf': 3, 'min_samples_split': 8, 'n_estimators': 65})","{'clf__selected_model': ('brf', {'criterion': 'gini', 'max_depth': 23, 'max_features': 'auto', 'min_samples_leaf': 3, 'min_samples_split': 8, 'n_estimators': 65})}",1.0386704444885253,0.015331743266932145,0.528481723034334,0.004908386540862187,14,0.5927025884596004,0.005315090843751336,42,0.5365647777982441,0.006375292285028764,41,0.5654177399733888,0.006399464990209182,50
38,"('brf', {'criterion': 'gini', 'max_depth': 23, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'min_samples_split': 5, 'n_estimators': 110})","{'clf__selected_model': ('brf', {'criterion': 'gini', 'max_depth': 23, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'min_samples_split': 5, 'n_estimators': 110})}",2.967646821339925,0.36905193728645536,0.5282364416920565,0.006314437346689843,15,0.5928039890887218,0.005265677474932741,41,0.5364349940418016,0.006321109167147227,42,0.5656617352705923,0.005649103643941473,49
